"","Number","Publication Year","Decision year","Month","Firm","Winner","City (If available)","County","State","state_id","Pages","Manufacturing","Employment","Value ($m)","COUNTY","GEO_ID","fips"
"1","107",1999,1998,"May","Level 3 Communications",0,NA,"sanmateo/sanfrancisco/marincounties","CA","06",NA,"N","5000","70",NA,NA,"06075"
"2","3",1982,1982,"August","Racal-Milgo",0,"Miami","dade","FL","12",NA,"Y",NA,NA,NA,NA,"12086"
"3","72",1992,1992,"August","MCI Communications",1,"Hialeah","dade","FL","12",NA,"N","1000",".",NA,NA,"12086"
"4","104",1998,1997,"April/May","MCI",0,"Chicago","cook/dupagecounties","IL","17",NA,"N","1200","43",NA,NA,"17043"
"5","10-B",2007,2006,"May","Bristol-Myers Squibb",1,"Devens","middlesex/worcestercounties","MA","25",2,"Y",NA,NA,NA,NA,"25027"
"6","115",2006,2005,"May","European Aeronautic Defense and Space Co.(EADS)",0,"North Charleston","berkeley/charleston/dorchestercounties","SC","45",328,"Y",NA,NA,NA,NA,"45015"
"7","19-B",2008,2007,"May","Google",0,"Blythewood","fairfield/richlandcounties","SC","45",2,"N",NA,NA,NA,NA,"45079"
"8","28",1987,1987,"April","Knauf Fiber Glass",1,"Lanett","chambers","AL","01",NA,"Y","150","50","017","0500000US01017","01017"
"9","60",1991,1991,"August","Sterilite",1,"Birmingham","jefferson","AL","01",NA,"Y",".",".","073","0500000US01073","01073"
"10","2",1982,1982,"June","GE",1,"n/a","lowndes","AL","01",NA,"Y",NA,"1500","085","0500000US01085","01085"
"11","44-B",2009,2008,"May","Volkswagen",0,"Huntsville","madison","AL","01",5,"Y",NA,NA,"089","0500000US01089","01089"
"12","78-B",2002,2001,"May","Toyota Motor Corp.",1,"Huntsville","madison","AL","01",320,"Y",NA,NA,"089","0500000US01089","01089"
"13","115",2006,2005,"May","European Aeronautic Defense and Space Co.(EADS)",1,"Mobile","mobile","AL","01",328,"Y",NA,NA,"097","0500000US01097","01097"
"14","24-B",2008,2007,"May","ThyssenKrupp",1,"Mount Vernon","mobile","AL","01",4,"Y",NA,NA,"097","0500000US01097","01097"
"15","28",1987,1987,"April","Knauf Fiber Glass",0,"Phenix city","russell","AL","01",NA,"Y",NA,NA,"113","0500000US01113","01113"
"16","101",2000,1999,"May","Honda",1,"Lincoln","talladega","AL","01",NA,"Y","1500","400","121","0500000US01121","01121"
"17","81",1993,1993,"December","Mercedes-Benz",1,"Vance","tuscaloosa","AL","01",NA,"Y",".",".","125","0500000US01125","01125"
"18","68-B",2001,2000,"May","USAA Insurance",1,"Phoenix","maricopa","AZ","04",285,"N",NA,NA,"013","0500000US04013","04013"
"19","69-B",2001,2000,"May","Vanguard Group",0,"Scottsdale","maricopa","AZ","04",286,"N",NA,NA,"013","0500000US04013","04013"
"20","15",1985,1985,"August","AiResearch",1,"Tucson","pima","AZ","04",NA,"Y","4000","70","019","0500000US04019","04019"
"21","33-B",2008,2007,"May","PACCAR",0,"Jonesboro","craighead","AR","05",8,"Y",NA,NA,"031","0500000US05031","05031"
"22","25-B",2008,2007,"May","Toyota Motor Co.",0,"Marion","crittenden","AR","05",4,"Y",NA,NA,"035","0500000US05035","05035"
"23","12",1985,1985,"n/a","Turbular Corp",0,NA,"phillips","AR","05",NA,"Y",NA,NA,"107","0500000US05107","05107"
"24","21",2008,2007,"May","LM Glasfiber",1,"Little Rock","pulaski","AR","05",3,"Y",NA,NA,"119","0500000US05119","05119"
"25","38",1988,1988,"December","Toyota",0,"n/a","alameda","CA","06",NA,"Y",NA,NA,"001","0500000US06001","06001"
"26","27",1987,1987,"February","Carnation",1,"Bakersfield","kern","CA","06",NA,"Y","250","67","029","0500000US06029","06029"
"27","68",1992,1992,"February","AT&T",0,"Rocklin","placer","CA","06",NA,"N",".",".","061","0500000US06061","06061"
"28","67",1992,1992,NA,"Safeway",0,NA,"sacramento","CA","06",NA,"N",".",".","067","0500000US06067","06067"
"29","65-B",2001,2000,"May","IDEC Pharmaceuticals",1,"Oceanside","sandiego","CA","06",276,"Y",NA,NA,"073","0500000US06073","06073"
