"","fips","MEASYEAR","abundance","richness"
"1","01001",1981,17474179.9003219,40
"2","01001",1990,11136064.3320917,48
"3","01001",1997,7894502.82534077,28
"4","01001",1998,5466717.78373582,26
"5","01001",1999,6520365.19591269,22
"6","01001",2000,5952985.63027355,46
"7","01001",2001,9945146.29342873,32
"8","01001",2002,11741017.6376539,35
"9","01001",2003,5997041.8819578,26
"10","01001",2004,11726340.7201202,29
"11","01001",2005,7326068.52115449,29
"12","01001",2006,7534566.2177744,32
"13","01001",2007,9295134.55040723,34
"14","01001",2008,12995566.1894071,28
"15","01001",2009,8732894.23149235,31
"16","01001",2010,9845749.17142204,23
"17","01001",2011,6548875.78264229,14
"18","01001",2013,6288069.87085563,33
"19","01001",2014,9458969.86238035,52
"20","01001",2015,7993843.0201606,24
"21","01001",2016,2327828.49249858,1
"22","01001",2017,10467869.3054007,28
"23","01001",2018,7540078.18154187,35
"24","01001",2019,5650272.05130009,26
"25","01001",2020,5984109.55797127,26
"26","01001",2021,4977416.40305457,15
"27","01001",2022,8412946.47453792,34
"28","01003",1980,58394752.6942665,44
"29","01003",1981,45010593.4187237,33
"30","01003",1989,23407020.3047062,46
"31","01003",1990,35913301.0389114,43
"32","01003",1997,16041239.9481507,27
"33","01003",1998,16804069.9361003,35
"34","01003",1999,18711951.5595605,59
"35","01003",2000,15263069.8298609,4
"36","01003",2001,30801198.9856646,40
"37","01003",2002,32363740.1335034,38
"38","01003",2003,25008462.8017953,32
"39","01003",2004,24759790.687178,42
"40","01003",2005,23730076.8760945,38
"41","01003",2006,27705790.2744425,41
"42","01003",2007,21586276.5244587,36
"43","01003",2008,27410517.4355543,25
"44","01003",2009,22586844.7625364,28
"45","01003",2010,22772077.0730797,31
"46","01003",2011,21407297.4366708,37
"47","01003",2012,22248749.1052779,35
"48","01003",2013,25887255.0811337,41
"49","01003",2014,23526632.0394107,25
"50","01003",2015,23564454.2228548,25
"51","01003",2016,22989521.2765234,41
"52","01003",2017,20366343.9576588,34
"53","01003",2018,26557451.5514119,32
"54","01003",2019,23352851.0943883,32
"55","01003",2020,24703828.4824998,34
"56","01003",2021,27347412.2225649,39
"57","01003",2022,17479358.9225272,12
"58","01005",1980,25374486.6904614,47
"59","01005",1990,15872624.918987,51
"60","01005",1997,5376195.43748382,9
"61","01005",1998,10804940.1759462,47
"62","01005",1999,10306455.9059918,49
"63","01005",2000,10578966.8085897,38
"64","01005",2001,15891272.8659678,21
"65","01005",2002,15331537.8999954,29
"66","01005",2003,16051806.2234085,49
"67","01005",2004,14915803.9830722,44
"68","01005",2006,14601050.432759,23
"69","01005",2007,13861114.2235734,25
"70","01005",2008,11913556.657646,27
"71","01005",2009,13318758.2654984,34
"72","01005",2010,15291323.4357862,34
"73","01005",2011,11944265.7513009,31
"74","01005",2012,12158066.7402007,40
"75","01005",2014,13090490.6916181,40
"76","01005",2015,13461986.071328,11
"77","01005",2016,11862196.9525264,35
"78","01005",2017,9655607.50051813,39
"79","01005",2018,11286287.4970577,30
"80","01005",2019,10751856.6425009,26
"81","01005",2020,14117101.7387945,28
"82","01005",2021,12288079.7411943,7
"83","01005",2022,16169833.4631635,29
"84","01007",1981,16779913.1405325,10
"85","01007",1982,19098008.7268645,45
"86","01007",1989,12345512.5129756,55
"87","01007",1997,5342545.7946326,36
"88","01007",1998,6978047.23650307,34
"89","01007",1999,5820333.52666165,52
"90","01007",2000,6343244.20233575,30
"91","01007",2001,8408452.73428094,25
"92","01007",2002,9542149.05090555,40
"93","01007",2003,8125942.60806638,37
"94","01007",2004,8912673.20191092,32
"95","01007",2005,7871292.61029293,42
"96","01007",2006,8499775.31884912,26
"97","01007",2007,7901204.03053057,28
"98","01007",2008,6683524.84352768,29
"99","01007",2009,10454818.5878798,41
"100","01007",2010,3249001.59010756,13
"101","01007",2011,8005472.85837742,30
"102","01007",2012,8463336.03703354,32
"103","01007",2014,8165253.26291513,35
"104","01007",2015,9987799.73081718,27
"105","01007",2016,7895073.15907422,30
"106","01007",2017,9475989.93203823,34
"107","01007",2018,8244142.53388237,24
"108","01007",2019,7945606.05195217,36
"109","01007",2020,10854345.2499131,10
"110","01007",2021,6832583.7035719,27
"111","01007",2022,7174075.59875419,34
"112","01009",1982,19314505.6535212,41
"113","01009",1990,10957237.2599835,43
"114","01009",2000,6457222.60986369,48
"115","01009",2001,11298378.4290195,27
"116","01009",2002,15178042.59814,24
"117","01009",2003,10956769.7633357,21
"118","01009",2004,13189009.3077234,37
"119","01009",2005,11879895.6799727,25
"120","01009",2006,12841424.3885682,24
"121","01009",2007,9683354.4760165,24
"122","01009",2008,18479755.6336707,19
"123","01009",2009,9730062.27397371,29
"124","01009",2010,28344676.6865492,3
"125","01009",2011,9269617.81624949,30
"126","01009",2012,11496745.1563882,37
"127","01009",2014,11118840.7999037,24
"128","01009",2015,12672083.3595694,32
"129","01009",2016,11024509.2998272,12
"130","01009",2017,7918065.69774585,31
"131","01009",2018,11516030.4500168,23
"132","01009",2019,12035108.6662145,28
"133","01009",2020,12031730.7201636,28
"134","01009",2021,10587179.1984639,23
"135","01009",2022,10480846.878176,4
"136","01011",1981,16263539.2888377,44
"137","01011",1990,9749213.01937012,54
"138","01011",1997,6545505.21623278,20
"139","01011",1998,5824968.87714568,41
"140","01011",1999,6875403.62851644,40
"141","01011",2000,8211113.3430482,22
"142","01011",2001,11648928.4354871,32
"143","01011",2002,10328364.2997686,26
"144","01011",2003,10217125.9701706,29
"145","01011",2004,7513502.56733076,38
"146","01011",2005,13264974.0155676,20
"147","01011",2006,8938838.55501509,28
"148","01011",2007,9817010.54761967,29
"149","01011",2008,7297867.83320966,22
"150","01011",2009,8993418.98716279,25
"151","01011",2010,6569324.99951345,19
"152","01011",2011,9486507.97517982,29
"153","01011",2012,7808486.15929113,38
"154","01011",2013,24475913.4016073,2
"155","01011",2014,10651614.9628062,31
"156","01011",2015,7382144.47175269,24
"157","01011",2016,7654029.00369762,27
"158","01011",2017,7560656.78340432,33
"159","01011",2018,6726659.50530678,25
"160","01011",2019,9937580.91066849,31
"161","01011",2021,8834830.4474639,40
"162","01011",2022,7235174.23624468,12
"163","01013",1981,24145728.9838274,57
"164","01013",1990,14570099.7695199,57
"165","01013",1997,6832156.53877746,37
"166","01013",1998,8815872.45869678,33
"167","01013",2000,7021117.14261147,72
"168","01013",2001,13853938.6661679,42
"169","01013",2002,10743504.9628738,30
"170","01013",2003,15078647.2527998,36
"171","01013",2004,11967285.6635564,43
"172","01013",2005,9726421.41479422,18
"173","01013",2006,13023811.2434493,28
"174","01013",2007,8915977.7365412,19
"175","01013",2008,14604108.5310712,27
"176","01013",2009,13050026.4369251,30
"177","01013",2010,10585474.5820358,26
"178","01013",2011,10631055.7615107,31
"179","01013",2012,12596699.5610083,44
"180","01013",2013,10615077.6232138,31
"181","01013",2015,11324944.6731344,28
"182","01013",2016,13122554.2658838,41
"183","01013",2017,9890865.98628575,42
"184","01013",2018,11257874.4844657,31
"185","01013",2019,11727823.0488347,31
"186","01013",2020,7915119.73392202,35
"187","01013",2021,12164511.6899605,28
"188","01013",2022,9431967.41332589,12
"189","01015",1982,18921602.9639447,33
"190","01015",1990,10875544.2091401,37
"191","01015",1998,6783926.33497676,32
"192","01015",1999,7395445.07869717,33
"193","01015",2000,4958667.12655705,38
"194","01015",2001,16510449.2600107,18
"195","01015",2002,9133421.07131151,22
"196","01015",2003,9904691.40008023,34
"197","01015",2004,7546209.12652609,9
"198","01015",2005,9710677.90556835,32
"199","01015",2006,10815050.7673383,22
"200","01015",2007,10709215.9143065,17
"201","01015",2008,5833529.46144383,25
"202","01015",2009,11191002.5856192,30
"203","01015",2010,6656539.79679339,21
"204","01015",2011,9340631.45897029,29
"205","01015",2012,9984904.70356889,33
"206","01015",2013,10590245.308584,18
"207","01015",2014,5228892.528124,23
"208","01015",2015,9608604.21841105,28
"209","01015",2016,7516198.36717498,24
"210","01015",2017,9051856.14798526,29
"211","01015",2018,9623548.66815835,22
"212","01015",2019,7832449.97943486,27
"213","01015",2020,11073679.4556664,13
"214","01015",2021,6475251.25474013,22
"215","01015",2022,6042497.96080656,12
"216","01017",1981,18707890.9037147,37
"217","01017",1990,11050770.2063214,42
"218","01017",2000,5623580.49423145,51
"219","01017",2001,11429864.1755234,31
"220","01017",2002,9842178.52652825,28
"221","01017",2003,8427988.83150563,31
"222","01017",2004,8643781.87338687,24
"223","01017",2005,7446026.92160793,25
"224","01017",2006,8161118.28046638,21
"225","01017",2007,11611698.6798806,28
"226","01017",2008,8976191.61938086,36
"227","01017",2009,9439891.19486454,18
"228","01017",2010,5267345.78102093,17
"229","01017",2012,8166742.96709206,29
"230","01017",2013,7831209.74242225,20
"231","01017",2014,11644196.6056219,23
"232","01017",2015,7879498.25638972,25
"233","01017",2016,9412471.82061458,27
"234","01017",2017,6964736.97066991,28
"235","01017",2018,7486652.87263157,24
"236","01017",2019,7414575.25806172,27
"237","01017",2021,7945402.83407182,24
"238","01017",2022,9138349.70909813,26
"239","01019",1982,20806613.6446685,40
"240","01019",1990,11530181.3683542,44
"241","01019",1997,6031676.66947715,30
"242","01019",1998,5465275.56839602,31
"243","01019",1999,4452864.76764107,33
"244","01019",2000,5519963.22538885,25
"245","01019",2001,4495278.02599154,18
"246","01019",2002,11718932.8738079,23
"247","01019",2003,10771995.1349276,38
"248","01019",2004,8892126.62259414,27
"249","01019",2005,7898029.67352878,30
"250","01019",2006,5658216.72676168,15
"251","01019",2007,7175850.33707429,26
"252","01019",2008,9505054.08358235,24
"253","01019",2009,10904724.2617653,33
"254","01019",2010,6740637.82377137,22
"255","01019",2011,7269000.75724091,24
"256","01019",2012,7815482.1666745,26
"257","01019",2013,5565926.8999809,16
"258","01019",2014,8787485.23922449,38
"259","01019",2015,8647409.3866018,30
"260","01019",2016,6656232.68156062,28
"261","01019",2017,7081900.34248566,26
"262","01019",2018,7306067.82054145,25
"263","01019",2019,6339599.78394574,24
"264","01019",2020,8622690.84412911,19
"265","01019",2021,9407153.4351399,35
"266","01021",1981,22075135.0115288,41
"267","01021",1990,13094689.6277866,46
"268","01021",1997,12272075.5884029,30
"269","01021",1998,9382599.11564514,52
"270","01021",2000,8148373.46466282,17
"271","01021",2001,13518976.0609856,37
"272","01021",2002,14976690.0548829,31
"273","01021",2003,12877451.894211,37
"274","01021",2004,11937240.3589268,29
"275","01021",2005,14148981.720396,37
"276","01021",2006,10927796.4520785,27
"277","01021",2007,12220630.1398682,33
"278","01021",2008,11375606.3665629,33
"279","01021",2009,10395115.6950378,32
"280","01021",2010,11179633.1589733,28
"281","01021",2011,9872195.29334156,31
"282","01021",2012,15782277.7367896,7
"283","01021",2013,11560889.6247551,29
"284","01021",2014,11447894.4242856,38
"285","01021",2015,9425513.48736176,34
"286","01021",2016,10098771.8090676,32
"287","01021",2017,11706543.2147699,32
"288","01021",2018,15187591.0178949,12
"289","01021",2019,8930679.10546213,37
"290","01021",2020,10361681.980493,30
"291","01021",2021,8697707.89859667,26
"292","01021",2022,8632198.87745956,29
"293","01023",1981,27422615.0107876,65
"294","01023",1989,16891926.6267132,50
"295","01023",1990,17943825.0191716,53
"296","01023",1997,8875016.18291492,38
"297","01023",1998,10066970.4080552,58
"298","01023",1999,7569806.78508616,61
"299","01023",2000,18639350.2893749,11
"300","01023",2001,15156454.2772134,43
"301","01023",2002,19021165.4630153,37
"302","01023",2003,17475102.1336862,51
"303","01023",2004,12823281.962226,55
"304","01023",2005,14608873.643479,20
"305","01023",2006,14833945.7815305,32
"306","01023",2007,11526765.791643,42
"307","01023",2008,12970193.8488969,43
"308","01023",2009,15743914.5298638,40
"309","01023",2010,15278813.1698933,45
"310","01023",2011,13793515.1095158,39
"311","01023",2012,15135481.5361447,38
"312","01023",2013,12038596.0056739,42
"313","01023",2014,15046912.1355032,21
"314","01023",2015,13276858.7830598,43
"315","01023",2016,15731093.2830149,42
"316","01023",2017,15217734.9892286,48
